package,last_modified,first_release
mvdalab,2021-05-15,2016-04-09
mvglmmRank,2018-08-24,2014-07-10
mvGPS,2021-04-28,2020-09-17
mvgraph,2012-05-21,2009-03-27
mvgraphnorm,2020-02-26,2019-04-09
mvinfluence,2018-05-17,2012-12-21
MVisAGe,2018-05-10,2017-05-28
MVLM,2017-03-26,2016-06-16
mvLSW,2021-06-01,2016-12-23
mvmesh,2020-02-11,2015-04-11
mvmeta,2019-12-10,2011-05-09
mvMORPH,2021-03-17,2013-10-08
MVN,2019-09-27,2013-02-13
mvna,2017-09-12,2007-12-06
mvnfast,2021-05-20,2014-06-08
mvngGrAd,2015-04-05,2010-04-09
mvnmle,2020-05-14,2001-01-11
mvnormtest,2012-04-12,2003-10-01
MVNtestchar,2020-07-25,2020-03-30
mvord,2021-03-17,2017-09-07
mvoutlier,2018-02-08,2004-11-11
mvp,2019-09-05,2018-12-30
mvpart,2014-12-13,2004-02-13
MVPARTwrap,2014-12-13,2011-11-16
mvPot,2021-02-25,2016-06-23
MVpower,2014-12-07,2010-02-16
mvProbit,2020-02-01,2011-11-13
mvQuad,2016-07-20,2015-11-01
MVR,2018-09-10,2011-07-26
mvrsquared,2020-10-21,2020-02-20
mvsf,2021-02-15,2012-10-29
mvShapiroTest,2013-11-04,2012-10-29
mvSLOUCH,2021-06-03,2013-10-11
mvst,2018-07-24,2016-07-20
mvtBinaryEP,2014-07-28,2009-02-18
mvtboost,2019-12-21,2015-07-18
MVTests,2020-01-20,2018-12-18
mvtmeta,2020-02-11,2012-07-10
mvtnorm,2021-06-07,2000-11-14
mvtnormpcs,2012-04-16,2006-06-16
mvtsplot,2012-03-21,2011-07-23
mwa,2020-10-22,2014-03-24
mwaved,2019-11-10,2014-08-04
MWLasso,2016-08-09,2016-07-27
MWright,2019-08-08,2019-08-05
mwshiny,2020-06-06,2019-03-06
mxkssd,2011-08-08,2011-01-25
MXM,2021-02-23,2014-05-12
mxmmod,2021-05-18,2020-03-28
mycor,2018-04-10,2014-10-02
myepisodes,2012-07-03,2012-02-18
Myrrix,2017-11-16,2013-07-26
Myrrixjars,2017-11-16,2013-07-26
myTAI,2021-02-24,2014-11-01
n1qn1,2020-11-17,2017-10-30
N2H4,2020-03-20,2019-05-16
N2R,2020-12-14,2020-09-29
na.tools,2018-06-25,2018-02-12
nabor,2018-07-11,2014-09-03
NACHO,2021-01-14,2019-04-28
nacopula,2014-12-02,2010-07-02
NADA,2020-03-22,2004-06-25
NADA2,2021-04-30,2021-02-24
NADIA,2021-01-06,2020-11-23
nadiv,2021-04-06,2011-12-18
naijR,2021-05-01,2020-02-11
naivebayes,2020-03-08,2017-01-05
naivereg,2020-03-18,2018-02-20
NAM,2019-09-23,2015-01-04
namedCapture,2020-04-01,2017-06-19
NameNeedle,2020-03-23,2017-07-11
namer,2019-12-16,2018-10-30
nametagger,2020-10-11,2020-06-04
nandb,2021-05-17,2017-05-29
naniar,2021-05-14,2017-08-09
nanny,2021-04-13,2020-06-13
nanop,2015-09-25,2009-12-06
NanoStringNorm,2020-09-11,2011-09-16
nanostringr,2021-02-06,2019-03-15
nanotime,2020-09-04,2016-12-16
NAPPA,2020-09-25,2013-10-29
naptime,2017-02-23,2016-11-13
nardl,2021-01-06,2017-07-04
narray,2021-05-10,2016-12-07
nasapower,2020-10-24,2018-10-14
nat,2020-09-22,2014-02-04
nat.nblast,2019-12-17,2014-09-19
nat.templatebrains,2020-10-19,2014-09-16
nat.utils,2015-07-04,2014-01-04
nationwider,2020-04-06,2019-10-04
natmanager,2021-05-30,2020-02-11
natserv,2020-05-17,2016-12-15
naturalsort,2016-08-30,2013-07-30
NatureSounds,2021-04-23,2018-02-09
nauf,2018-05-22,2017-05-09
nawtilus,2020-07-23,2020-06-12
NB.MClust,2017-06-03,2017-05-03
nbc4va,2020-04-09,2016-07-11
NbClust,2015-04-13,2012-05-23
nbconvertR,2019-11-27,2015-07-08
NBDdirichlet,2016-03-15,2011-09-10
NBDesign,2020-09-10,2018-11-19
NBLDA,2020-05-19,2018-07-01
nbpMatching,2016-04-19,2009-09-18
NBPSeq,2014-04-15,2011-04-24
NBR,2020-08-03,2020-03-26
nbTransmission,2021-01-06,2020-07-13
nc,2020-08-10,2019-09-23
NCA,2021-05-03,2015-07-02
nCal,2020-09-11,2013-05-10
ncappc,2018-05-03,2015-03-04
ncar,2021-06-10,2017-01-25
NCBI2R,2015-03-13,2010-07-06
ncdf,2016-01-11,2003-10-27
ncdf.tools,2020-07-05,2014-04-04
ncdf4,2019-10-23,2010-02-24
ncdf4.helpers,2019-11-16,2014-01-17
ncdfgeom,2021-04-23,2019-06-07
nCDunnett,2015-11-16,2013-02-01
ncf,2020-01-29,2008-04-14
ncg,2012-07-05,2012-06-19
ncmeta,2020-08-27,2017-12-01
NCmisc,2018-11-12,2013-07-29
ncodeR,2019-11-19,2018-06-19
ncomplete,2012-04-27,2003-05-25
nCov2019,2021-06-10,2021-04-08
ncpen,2018-11-17,2018-02-21
ncvar,2011-07-26,2004-09-26
ncvreg,2021-03-30,2009-11-22
ndjson,2019-11-13,2016-08-27
ndl,2018-08-21,2011-06-25
ndtv,2019-05-22,2013-06-01
ndvits,2014-01-01,2011-08-09
NEArender,2020-05-04,2016-04-19
nearfar,2018-08-30,2016-09-01
neariso,2019-03-11,2011-01-03
neat,2021-01-07,2016-04-21
NeatMap,2020-08-03,2009-05-13
neatmaps,2019-05-12,2017-08-06
neatRanges,2020-03-29,2019-06-18
neatStats,2020-10-08,2020-02-20
needmining,2019-03-08,2019-02-27
needs,2016-03-28,2015-12-15
needy,2013-07-31,2013-07-05
NEff,2015-05-15,2013-09-10
negenes,2019-08-05,2003-06-21
neighbr,2020-03-19,2017-02-23
neldermead,2021-06-09,2010-05-05
Nemenyi,2014-09-01,2014-05-13
NeMo,2013-03-22,2011-08-22
neo2R,2020-03-28,2020-02-17
neo4jshell,2020-08-03,2020-06-09
neo4r,2019-02-15,2019-01-28
neonstore,2021-04-27,2020-08-11
neonUtilities,2021-06-05,2018-11-03
neotoma,2019-01-05,2015-05-03
nephro,2017-05-10,2013-01-30
NEpiC,2016-03-26,2015-11-26
neptune,2021-01-11,2020-03-25
nesRdata,2020-01-27,2017-11-09
NestedCategBayesImpute,2019-02-07,2016-11-17
NestedCohort,2020-10-28,2007-09-26
nestedRanksTest,2019-05-13,2015-02-08
nestfs,2019-09-21,2018-07-05
net.security,2019-03-02,2017-04-01
netassoc,2017-06-05,2015-01-31
netCDF,2008-02-16,2000-07-26
netchain,2020-02-16,2019-01-16
netClass,2017-07-29,2013-05-30
netClust,2020-07-07,2020-07-06
NetCluster,2010-06-27,2010-06-18
netcoh,2020-02-19,2016-03-03
netCoin,2021-02-04,2016-12-21
netcom,2017-07-10,2017-07-08
NetComp,2012-08-31,2012-01-10
NetData,2011-01-24,2010-06-18
netdep,2021-03-10,2018-07-10
netdiffuseR,2021-05-11,2016-02-18
netgen,2020-01-08,2015-02-03
netgsa,2021-04-08,2014-12-02
netgwas,2020-11-17,2017-12-01
NetIndices,2014-12-26,2008-07-18
netjack,2019-07-07,2018-07-01
NetLogoR,2021-05-22,2018-02-05
netmeta,2021-05-11,2013-07-24
NetMix,2021-03-01,2019-07-26
netmodels,2010-07-30,2008-03-30
NetOrigin,2021-04-01,2016-07-07
NetPreProc,2014-08-19,2012-02-23
netrankr,2020-09-09,2018-01-08
netregR,2018-08-02,2018-04-06
NetRep,2020-10-08,2016-07-29
nets,2020-10-27,2013-03-04
netSEM,2018-11-28,2018-06-12
NetSim,2018-06-17,2013-12-15
NetSimR,2021-04-22,2019-08-20
nettools,2018-03-26,2014-09-12
NetWeaver,2019-02-26,2016-12-22
netweavers,2015-10-13,2013-06-24
network,2021-06-07,2005-08-20
networkABC,2021-03-20,2019-03-06
NetworkAnalysis,2013-11-15,2010-12-03
NetworkChange,2020-07-12,2017-03-30
NetworkComparisonTest,2019-06-28,2016-09-07
networkD3,2017-03-18,2014-12-16
NetworkDistance,2020-05-08,2017-12-08
networkDynamic,2020-01-21,2012-03-05
networkDynamicData,2016-01-12,2014-02-07
NetworkExtinction,2019-10-27,2018-03-16
networkGen,2017-12-04,2017-07-05
NetworkInference,2019-02-28,2017-03-26
networkR,2019-09-20,2018-01-29
networkreporting,2016-06-20,2014-05-06
NetworkRiskMeasures,2020-03-05,2017-01-10
NetworkSim,2021-04-21,2018-12-19
networksis,2015-04-16,2008-04-16
networkTomography,2014-01-01,2012-12-13
NetworkToolbox,2021-05-28,2017-11-02
networktools,2020-04-20,2017-04-14
networktree,2021-02-04,2018-12-31
neural,2009-09-24,2005-06-08
neuralnet,2019-02-07,2008-04-15
NeuralNetTools,2018-07-27,2014-12-16
NeuralSens,2020-10-22,2019-06-04
neurobase,2021-04-07,2016-09-27
neurohcp,2020-10-14,2017-05-14
neuroim,2016-01-07,2014-04-04
neuromplex,2021-04-22,2020-06-04
neuropsychology,2020-06-15,2016-09-21
neuRosim,2014-12-07,2010-11-23
neurovault,2018-01-23,2017-12-01
neutralitytestr,2021-02-16,2018-04-11
neverhpfilter,2020-02-09,2018-01-24
newallelic,2008-02-16,2006-05-18
Newdistns,2016-03-25,2013-08-20
NewmanOmics,2019-08-05,2019-08-03
newsanchor,2019-06-29,2019-03-05
newscatcheR,2020-07-13,2020-05-29
newsmap,2021-05-18,2018-09-03
nFactors,2020-03-28,2006-07-10
NFCP,2021-05-06,2021-01-13
nfda,2012-09-08,2011-11-12
nFDR,2013-03-23,2005-06-08
nflfastR,2021-03-23,2020-09-01
nflseedR,2021-04-10,2021-03-31
NFLSimulatoR,2021-01-06,2020-11-23
NFP,2021-04-08,2016-08-31
nga,2013-12-21,2010-04-02
NGBVS,2020-01-16,2019-11-04
ngram,2017-11-21,2014-06-23
ngramr,2021-05-13,2013-07-23
ngramrr,2016-03-10,2015-04-06
ngspatial,2020-05-08,2012-07-06
NGSSEML,2020-10-19,2020-01-19
ngstk,2020-03-07,2017-10-11
NHANES,2015-07-02,2014-08-23
nhanesA,2021-01-31,2015-08-27
nhdplusTools,2021-05-22,2019-08-25
nhdR,2021-06-06,2019-01-31
nhds,2021-04-08,2019-03-31
NHEMOtree,2020-04-09,2013-05-09
nhlapi,2021-02-20,2020-05-25
nhlscrape,2020-02-25,2020-01-12
nhlscrapr,2019-03-04,2013-06-17
NHMM,2020-06-30,2014-09-24
NHMMfdr,2014-10-03,2014-03-28
NHMSAR,2020-04-07,2014-11-23
NHPoisson,2020-02-19,2012-04-20
nhs.predict,2020-10-05,2020-06-09
NHSDataDictionaRy,2021-03-31,2021-01-25
NHSRdatasets,2021-03-14,2019-08-03
nhstplot,2020-04-14,2016-09-02
nice,2016-11-28,2005-01-25
nicheROVER,2021-06-03,2014-07-25
NightDay,2018-04-16,2011-02-08
nightmares,2020-09-21,2020-09-09
nilde,2021-02-26,2018-06-19
nima,2020-03-06,2016-03-25
nimble,2021-05-23,2016-03-29
nimbleCarbon,2021-05-27,2021-05-25
nimbleEcology,2021-05-04,2019-10-09
nimbleSCR,2021-01-07,2020-08-20
nipals,2020-01-24,2017-11-14
Nippon,2019-07-01,2011-02-18
NipponMap,2018-05-16,2017-11-29
NIPTeR,2016-03-09,2015-11-06
NIRStat,2020-05-27,2018-01-29
NISTnls,2012-09-06,1999-11-04
NISTunits,2016-08-11,2014-12-06
NITPicker,2019-01-10,2018-04-20
nitrcbot,2018-06-01,2018-03-13
NitrogenUptake2016,2018-10-28,2018-07-30
nixmass,2021-03-05,2020-05-11
njtr1,2021-05-14,2021-01-20
nlADG,2015-06-19,2012-10-29
nlaR,2019-01-22,2018-07-13
NlcOptim,2019-01-18,2015-10-12
nlcv,2018-06-29,2017-10-19
nleqslv,2018-05-17,2009-02-07
NlinTS,2021-02-02,2018-02-23
nlist,2021-02-06,2020-01-24
nlme,2021-02-04,1999-11-23
nlmeODE,2012-10-27,2003-07-04
nlmixr,2021-04-17,2017-11-09
NLMR,2021-03-14,2017-11-30
nlmrt,2016-03-04,2012-08-12
nlMS,2019-06-21,2019-06-19
nlnet,2019-11-22,2015-10-13
nloptr,2020-07-02,2011-06-22
nloptwrap,2014-02-21,2013-05-20
NLP,2020-10-14,2013-08-17
nlpred,2020-02-23,2019-09-27
NLPutils,2018-10-18,2014-06-15
nlr,2020-01-16,2018-03-21
nlraa,2021-04-22,2020-01-13
nlreg,2019-01-30,2009-09-24
nlrq,2008-02-16,2001-05-16
nlrwr,2015-01-23,2008-03-21
nlrx,2021-06-03,2019-03-18
nls,2008-02-16,1999-06-08
nls.multstart,2020-09-18,2018-03-06
nls2,2013-03-08,2007-12-04
NLSdata,2014-06-25,2014-04-10
nlsem,2017-05-01,2014-12-19
nlsmsn,2021-01-20,2012-03-27
nlsr,2019-09-08,2017-02-13
nlstimedist,2020-07-25,2016-09-12
nlstools,2015-07-31,2007-07-22
NlsyLinks,2021-04-22,2012-01-16
nlt,2018-07-10,2008-01-28
nltm,2013-03-23,2006-03-24
nlts,2018-10-12,2012-10-18
nLTT,2020-01-13,2015-01-19
nlWaldTest,2016-03-25,2014-09-19
nmadb,2019-12-19,2019-05-09
NMADiagT,2020-02-26,2020-02-09
nmaINLA,2021-02-23,2017-06-20
NMAoutlier,2021-02-01,2019-02-01
nmaplateplot,2021-05-27,2020-12-18
nmathresh,2020-06-11,2018-01-26
nmcdr,2017-04-24,2014-05-22
NMF,2020-08-01,2009-11-23
nmfem,2020-05-17,2017-11-17
nmfgpu4R,2020-10-02,2016-04-27
NMFN,2011-01-05,2009-12-03
NMI,2016-08-20,2016-08-19
Nmisc,2021-04-28,2018-07-26
NMMAPSlite,2013-05-11,2007-01-30
NMOF,2021-04-10,2011-10-20
NMRS,2014-07-28,2012-10-29
nmslibR,2021-05-07,2018-02-27
nmw,2018-04-10,2017-03-14
NNbenchmark,2021-06-05,2020-09-11
nnc,2011-12-15,2010-08-02
nnclust,2014-10-01,2009-09-22
nncRda,2011-12-15,2010-10-05
nnDiag,2012-04-16,2009-10-26
nneo,2018-11-14,2017-06-15
nnet,2021-05-03,2009-05-08
nnfor,2019-01-16,2017-10-24
nnGarrote,2020-07-06,2020-02-28
nngeo,2021-03-15,2018-01-16
nnlasso,2016-03-10,2015-03-16
nnlib2Rcpp,2021-05-05,2020-05-08
NNLM,2020-02-05,2015-12-26
nnls,2012-03-19,2007-10-15
NNMIS,2019-04-20,2017-10-18
NNS,2021-05-27,2016-04-05
NNTbiomarker,2015-08-21,2015-05-05
nnTensor,2021-05-05,2018-06-04
nntrf,2021-02-26,2020-06-04
noaaoceans,2021-04-10,2019-02-08
noaastormevents,2021-01-21,2017-07-14
NOAAWeather,2019-01-25,2018-03-21
noctua,2021-02-25,2019-10-20
nodbi,2021-01-14,2018-08-01
nodeHarvest,2015-06-12,2009-10-12
nodiv,2019-12-21,2014-11-13
nofrills,2021-01-08,2017-07-23
noia,2014-12-07,2008-04-27
noise,2021-01-08,2016-07-29
noisyCE2,2020-10-02,2019-08-20
noisyr,2021-04-16,2021-01-06
nomadlist,2017-02-15,2016-06-30
nombre,2020-09-12,2020-05-25
nomclust,2020-11-09,2015-06-03
NominalLogisticBiplot,2014-05-02,2013-09-17
nomine,2018-10-03,2017-10-04
nomisr,2021-01-23,2018-04-19
nomnoml,2020-12-15,2019-06-13
nomogramEx,2017-08-29,2016-11-30
nomogramFormula,2020-01-28,2019-08-28
nonbinROC,2012-11-01,2012-10-29
noncensus,2020-01-16,2014-05-07
NonCompart,2020-05-07,2016-11-27
noncompliance,2016-02-15,2016-02-12
nonet,2019-01-15,2018-12-31
nonlinearICP,2017-07-31,2017-07-31
NonlinearTSA,2021-01-23,2020-06-08
nonlinearTseries,2021-05-12,2013-08-29
nonmem2R,2021-01-17,2016-05-11
nonmemica,2020-11-24,2017-04-21
nonneg.cg,2019-09-05,2019-01-28
nonnest2,2020-07-05,2014-08-02
NonNorMvtDist,2020-03-23,2019-07-15
nonpar,2020-04-29,2017-02-21
nonparaeff,2013-02-22,2010-04-03
Nonpareil,2019-02-01,2017-12-05
NonParRolCor,2021-04-07,2021-03-31
NonpModelCheck,2021-05-05,2012-09-22
NonProbEst,2020-06-03,2019-06-18
nonrandom,2019-01-26,2009-12-01
nontarget,2016-09-27,2012-10-18
nopaco,2019-07-07,2017-01-13
nopp,2017-11-02,2012-10-22
nor1mix,2019-06-13,2003-11-15
nord,2019-08-29,2018-02-05
nordklimdata1,2014-12-07,2013-03-15
norm,2013-02-28,1999-11-05
norm2,2020-05-25,2016-05-06
NormalBetaPrime,2019-01-19,2018-07-22
NormalGamma,2013-10-16,2011-12-30
NormalizeMets,2020-02-19,2017-10-18
NormalLaplace,2018-11-26,2015-01-05
normalp,2020-02-14,2003-04-14
normalr,2018-03-30,2016-12-20
normix,2008-02-16,2002-07-02
NormPsy,2018-05-18,2014-05-30
NORMT3,2012-10-31,2005-01-10
normtest,2014-03-12,2014-02-19
normwn.test,2010-07-30,2008-02-21
norris,2020-09-24,2018-06-12
NORRRM,2020-01-14,2015-03-11
NORTARA,2020-02-19,2014-12-20
nortest,2015-07-30,2006-02-08
nortestARMA,2017-04-14,2016-05-04
nos,2017-09-11,2017-05-31
nosoi,2020-05-12,2020-01-14
not,2020-06-27,2019-07-04
noteMD,2019-12-17,2019-03-06
notifier,2017-03-02,2017-02-01
notifyme,2016-11-27,2016-11-12
notifyR,2012-08-06,2012-08-05
novelforestSG,2021-02-20,2021-02-17
novelist,2018-05-03,2015-05-19
noverlap,2012-04-27,2003-05-25
nowcasting,2019-08-01,2017-08-18
noweb,2019-10-13,2013-02-19
Nozzle.R1,2013-05-15,2013-01-08
np,2020-02-06,2006-11-19
nparACT,2017-12-20,2015-10-22
nparcomp,2019-06-25,2008-05-06
nparLD,2012-09-18,2009-09-18
NPBayesImpute,2018-08-10,2014-08-28
NPBayesImputeCat,2021-01-14,2018-11-18
npbr,2017-08-08,2013-12-12
NPC,2016-03-28,2015-04-18
NPCD,2019-11-15,2012-12-22
NPCirc,2014-10-16,2013-03-14
npConfRatio,2008-02-16,2000-11-16
npcopTest,2018-02-09,2017-01-09
npcp,2020-07-16,2014-05-07
npcure,2020-02-29,2019-05-08
npde,2021-04-07,2008-04-02
NPflow,2020-02-06,2016-04-27
nph,2020-01-10,2019-08-23
NPHMC,2013-09-24,2012-07-03
npIntFactRep,2015-12-04,2015-01-21
nplplot,2014-05-01,2008-03-27
nplr,2016-12-28,2014-05-04
npmc,2011-11-03,2002-03-20
NPMLEcmprsk,2018-08-03,2013-08-09
NPMLEmix,2020-12-06,2020-11-26
NPMLENCC,2021-05-27,2019-05-31
npmlreg,2018-08-31,2006-06-06
NPMOD,2020-05-20,2017-05-21
NPMPM,2018-06-09,2012-10-29
npmr,2019-02-02,2016-02-10
npmv,2017-01-09,2012-07-29
npordtests,2019-10-16,2018-11-19
NPP,2021-04-23,2019-07-11
nppbib,2020-09-01,2010-05-22
nprcgenekeepr,2021-03-31,2020-06-02
npreg,2021-04-23,2019-08-25
npregfast,2017-11-30,2015-11-09
npRmpi,2015-03-13,2010-05-18
nprobust,2020-08-26,2016-11-07
nproc,2020-01-13,2016-02-13
npROCRegression,2017-04-23,2016-06-19
nprotreg,2021-02-05,2018-10-14
nprq,2008-02-16,2003-08-29
NPS,2014-12-04,2014-04-07
npsf,2020-11-22,2015-09-20
NPsimex,2021-02-15,2011-11-04
npsm,2020-09-20,2014-08-04
npsp,2020-04-23,2013-10-23
npst,2012-12-22,2010-11-29
npsurv,2020-05-19,2015-11-12
nptest,2021-03-01,2019-04-23
NRAIA,2015-03-13,2007-02-01
NRejections,2019-05-28,2018-08-20
nricens,2018-05-30,2012-11-21
NSA,2019-01-26,2011-11-09
nsapi,2018-08-11,2018-08-06
nsarfima,2020-08-06,2019-09-20
nscancor,2018-02-15,2014-07-17
NScluster,2021-05-28,2012-09-19
nscprepr,2020-01-15,2017-06-13
nsdr,2021-06-03,2021-05-11
nse,2021-04-26,2017-01-24
nse2r,2021-05-20,2019-12-16
NSM3,2021-04-06,2013-10-20
NSO1212,2021-04-13,2019-02-05
nspmix,2020-05-06,2017-04-26
nsprcomp,2018-06-05,2013-04-16
nsRFA,2020-02-26,2006-12-15
nsROC,2018-08-07,2017-06-23
nsrr,2020-06-24,2019-02-22
NST,2021-01-08,2019-06-15
NTS,2020-08-06,2018-12-09
NTsets,2019-04-22,2018-09-16
nucim,2021-06-10,2016-10-15
NUCOMBog,2018-05-20,2016-04-14
nullabor,2020-02-25,2011-03-01
numbers,2021-05-14,2012-09-26
numConversion,2014-02-19,2011-04-04
numDeriv,2019-06-06,2006-04-12
Numero,2021-02-11,2017-12-01
numform,2020-09-27,2017-07-29
numGen,2017-07-05,2017-05-21
numKM,2020-03-29,2017-05-19
numOSL,2018-07-26,2013-12-22
NutrienTrackeR,2021-03-14,2018-06-27
nutshell,2020-02-02,2009-11-11
nutshell.audioscrobbler,2020-02-02,2012-12-12
nutshell.bbdb,2020-02-02,2012-12-12
nutshellDE,2012-07-01,2011-02-03
nvctr,2020-10-28,2019-03-07
nVennR,2021-01-24,2018-03-21
nvis,2012-03-17,2011-02-20
nvmix,2021-05-12,2018-10-14
nws,2021-05-26,2006-01-28
nycflights13,2021-04-12,2014-07-22
nyctaxi,2018-08-08,2017-10-26
nytR,2010-06-16,2009-12-28
nzelect,2017-10-02,2016-07-12
nzilbb.labbcat,2021-05-27,2019-03-18
nzpullover,2018-02-25,2017-01-29
o2geosocial,2020-09-10,2020-08-26
oai,2021-05-13,2015-09-11
OAIHarvester,2021-05-03,2009-03-03
oak,2020-03-07,2018-11-06
oapackage,2017-11-29,2015-06-17
Oarray,2018-03-20,2001-05-15
oasis,2020-10-24,2015-12-26
OasisR,2020-03-07,2015-06-23
oaxaca,2018-01-03,2014-11-20
obAnalytics,2016-11-11,2016-01-26
OBASpatial,2021-01-18,2020-04-16
obfuscatoR,2020-11-19,2019-08-01
objectProperties,2011-12-13,2011-08-13
objectremover,2019-06-23,2019-03-06
objectSignals,2011-10-28,2011-07-07
obliclus,2020-08-03,2012-07-20
oblique.tree,2017-04-24,2012-02-04
obliqueRF,2012-08-10,2011-09-06
obliqueRSF,2019-03-13,2018-11-02
OBRE,2020-04-03,2017-07-19
OBsMD,2020-06-25,2015-09-16
obsSens,2013-01-18,2008-02-21
oc,2019-10-21,2007-03-28
OCA,2021-02-12,2017-02-08
occ,2018-05-30,2014-12-01
occCite,2021-05-23,2020-10-06
ocd,2020-10-07,2020-03-18
oce,2021-03-28,2007-05-21
ocean,2017-02-27,2013-11-17
oceanis,2021-04-26,2019-05-17
oceanmap,2020-03-07,2016-08-27
OceanView,2021-05-27,2014-04-14
oceanwaves,2021-06-02,2019-10-07
ocedata,2020-06-06,2014-05-07
OCNet,2021-05-17,2019-12-18
ocomposition,2013-07-12,2012-10-29
ocp,2019-04-21,2018-12-28
od,2021-04-22,2020-09-09
OData,2016-12-20,2015-12-02
ODB,2020-03-11,2011-06-17
odbc,2021-04-03,2017-02-05
odds.converter,2018-06-01,2015-06-04
odds.n.ends,2021-01-11,2019-01-20
oddsratio,2020-05-25,2016-10-12
odeintr,2017-03-29,2015-05-12
ODEnetwork,2020-04-03,2018-05-14
ODEsensitivity,2019-01-09,2018-05-23
odesolve,2013-05-20,2001-02-03
odfWeave,2018-04-19,2006-07-10
odfWeave.survey,2018-04-19,2009-05-18
odin,2020-10-28,2019-07-02
odk,2017-11-27,2017-11-02
odkr,2018-06-03,2018-02-09
ODMconverter,2018-01-23,2013-05-28
odpc,2020-10-06,2017-08-18
odprism,2014-03-21,2011-06-17
odr,2020-03-13,2017-09-17
oec,2019-05-09,2016-07-26
OECD,2019-10-15,2015-09-21
oem,2019-12-01,2012-09-09
oenb,2021-03-22,2020-03-19
officedown,2021-04-05,2020-06-03
officer,2021-04-02,2017-03-01
offlineChange,2020-02-19,2019-07-15
ofp,2012-04-14,2010-05-10
ofw,2010-07-30,2008-01-28
oglmx,2018-05-05,2015-06-02
ohenery,2019-10-15,2019-10-06
Ohmage,2019-02-26,2011-12-27
OHPL,2019-05-18,2017-07-17
ohtadstats,2019-11-15,2018-03-01
oii,2017-10-22,2016-10-02
OIsurv,2018-08-13,2012-02-13
OjaNP,2020-02-23,2009-08-10
ojsr,2020-09-24,2020-04-24
ojUtils,2018-11-29,2018-09-16
okmesonet,2014-12-05,2012-04-24
olctools,2016-05-09,2015-08-06
OligoSpecificitySystem,2021-05-12,2009-11-26
olr,2020-01-08,2019-12-22
OLScurve,2014-02-20,2012-02-20
olsrr,2020-02-10,2017-05-11
OmicKriging,2016-03-08,2013-03-09
omics,2016-11-27,2015-12-04
OmicsPLS,2021-05-19,2017-05-09
omicwas,2020-10-08,2020-02-19
Omisc,2021-01-21,2018-10-14
ompr,2020-12-04,2017-04-17
ompr.roi,2018-06-11,2017-04-19
omu,2020-05-18,2018-08-02
omxr,2020-10-12,2020-09-23
OncoBayes2,2021-05-07,2019-08-29
Oncotree,2013-12-13,2009-03-12
oncrawlR,2020-01-31,2019-06-28
OneArmPhaseTwoStudy,2021-04-07,2014-12-10
OneHandClapping,2014-12-07,2012-01-25
onelogin,2019-08-07,2019-07-30
onemap,2020-02-17,2008-06-08
onepass,2021-05-28,2021-01-28
OneR,2017-05-05,2016-06-20
OneStep,2021-01-15,2020-07-13
ONETr,2015-08-25,2014-07-07
OneTwoSamples,2013-05-29,2013-04-28
onewaytests,2021-04-22,2015-08-24
onion,2021-02-11,2005-10-14
onlineBcp,2021-04-28,2021-01-11
onlineCPD,2017-03-26,2016-08-23
onlinePCA,2016-09-22,2014-12-26
onlineretail,2021-04-21,2020-11-20
onlineVAR,2019-04-22,2018-02-26
onls,2015-09-09,2015-01-17
onnx,2021-04-16,2018-03-06
ontologyIndex,2021-02-03,2016-01-11
ontologyPlot,2021-01-30,2016-01-11
ontologySimilarity,2021-02-10,2016-01-13
OOBCurve,2018-08-30,2017-02-24
oolong,2021-05-31,2020-03-21
OOmisc,2013-02-04,2012-04-11
oompaBase,2019-08-24,2017-07-11
OOR,2020-03-23,2017-02-03
oosp,2010-06-16,2009-08-20
opalr,2021-05-31,2019-02-18
opart,2020-05-26,2019-09-04
OpasnetUtils,2017-06-30,2013-07-17
OPDOE,2018-03-17,2013-05-22
OPE,2015-07-06,2012-10-29
opefimor,2018-01-23,2012-10-29
OpenABMCovid19,2021-05-31,2021-05-17
openadds,2017-01-03,2016-08-04
openair,2021-03-16,2010-09-09
openblender,2020-06-19,2019-08-28
opencage,2021-02-20,2016-05-12
opencastR,2020-03-19,2019-11-01
OpenCL,2020-03-09,2011-08-08
opencpu,2021-01-23,2013-08-24
opencpu.demo,2013-08-24,2012-01-12
opencpu.encode,2013-12-12,2011-07-24
openCR,2021-05-15,2018-04-12
opencv,2021-05-04,2019-04-01
opendatatoronto,2020-10-14,2019-10-28
openEBGM,2020-03-02,2017-05-05
OpenImageR,2021-05-21,2016-07-07
openintro,2021-04-19,2009-12-14
OpenLand,2020-04-19,2020-03-23
openmetrics,2020-11-09,2020-04-14
OpenML,2019-09-21,2016-11-12
OpenMPController,2017-12-11,2013-05-10
OpenMx,2021-04-24,2015-05-19
openNLP,2019-10-26,2008-02-07
openNLPdata,2017-11-12,2013-09-05
openNLPmodels,2009-06-27,2008-02-07
openNLPmodels.en,2013-08-17,2012-11-01
openNLPmodels.es,2013-08-17,2012-11-01
OpenRepGrid,2018-05-03,2011-07-23
OpenRepGrid.ic,2021-01-10,2020-07-30
opensensmapr,2019-05-13,2018-06-15
openSkies,2021-04-17,2020-11-03
OpenSpecy,2021-05-20,2021-03-31
openssl,2021-04-30,2014-10-21
openSTARS,2020-10-17,2017-08-09
OpenStreetMap,2019-05-31,2012-03-01
opentick,2010-02-04,2008-10-02
