Package,Score,RStudio,Days up,Total dl,Median dl,Mean dl
round,0.93,0,502,20182,35,40
fastrmodels,0.92,0,118,4313,30,36
TDA,0.89,0,90,3142,32,35
metan,0.88,0,512,19601,32,38
officedown,0.87,0,371,13843,32,37
fable.prophet,0.86,0,293,10647,27,36
boundingbox,0.85,0,365,13387,40,37
AzureCosmosR,0.85,0,142,4898,18,34
leafgl,0.84,0,346,12487,33,36
pkgdepends,0.84,0,85,2822,30,33
academictwitteR,0.84,0,29,917,29,31
locatexec,0.84,0,83,2745,33,33
mlr3cluster,0.84,0,251,8837,30,35
rmdpartials,0.84,0,370,13345,30,36
xaringanthemer,0.83,0,401,14472,29,36
garchmodels,0.83,0,60,1927,34,32
grates,0.82,0,82,2646,32,32
ggh4x,0.81,0,118,3875,31,33
carat,0.81,0,511,18261,33,36
bruceR,0.8,0,82,2618,26,32
mlr3fselect,0.8,0,290,9963,28,34
themis,0.8,0,513,18239,33,35
diffcor,0.79,0,289,9828,22,34
DataEditR,0.78,0,301,10144,25,34
qgshiny,0.78,0,342,11549,38,34
basedosdados,0.77,0,44,1311,28,29
catalog,0.76,0,81,2465,30,30
ggseg,0.75,0,21,604,21,27
LearningStats,0.74,0,49,1435,16,29
dm,0.74,0,454,15095,30,33
pkglite,0.71,0,93,2714,28,29
RcmdrPlugin.DCE,0.7,0,135,4009,22,29
RcppSpdlog,0.7,0,266,8171,25,31
attrib,0.69,0,71,2008,16,28
ComplexUpset,0.69,0,183,5441,26,30
mapsf,0.69,0,100,2866,24,28
audrex,0.68,0,42,1147,17,27
ggeasy,0.68,0,495,15485,29,31
airGRdatassim,0.67,0,118,3372,27,28
nlist,0.67,0,502,15659,25,31
crosstable,0.67,0,93,2608,26,28
juicr,0.67,0,40,1074,14,26
outsider.base,0.66,0,469,14381,37,31
r2dii.data,0.66,0,441,13442,23,30
nCov2019,0.66,0,62,1683,23,27
cforward,0.66,0,72,1969,15,27
Rforestry,0.65,0,68,1849,17,27
cmR,0.65,0,70,1906,16,27
shinyscreenshot,0.65,0,222,6446,20,29
tergmLite,0.65,0,466,14161,28,30
codeCollection,0.65,0,70,1894,14,27
poorman,0.65,0,434,13066,29,30
spacefillr,0.65,0,112,3105,24,27
nflseedR,0.64,0,70,1890,16,27
eat,0.64,0,61,1632,15,26
meerva,0.64,0,51,1351,15,26
modeltime.ensemble,0.64,0,245,7046,25,29
anndata,0.63,0,217,6170,24,28
IPWpn,0.62,0,57,1486,13,26
poems,0.62,0,72,1893,15,26
fitbitViz,0.62,0,22,552,17,24
gsisdecoder,0.61,0,239,6711,24,28
bigsparser,0.61,0,425,12368,27,29
ecpc,0.61,0,37,936,12,25
blockCV,0.61,0,472,13735,27,29
ggbreak,0.6,0,27,673,23,24
prenoms,0.6,0,43,1088,14,25
aws.ecx,0.6,0,82,2138,16,26
pwt10,0.6,0,139,3725,23,27
giscoR,0.6,0,239,6599,22,27
EpiNow2,0.59,0,281,7780,26,28
groundhog,0.59,0,222,6037,23,27
decor,0.58,1,344,76984,204,223
pollster,0.58,0,441,12380,22,28
modeltime.resample,0.58,0,216,5797,25,27
apsimx,0.57,0,343,9449,22,27
ggprism,0.57,0,117,3018,24,26
BioProbability,0.57,0,502,14132,26,28
IntCal,0.57,0,257,6921,25,27
RAQSAPI,0.57,0,88,2224,17,25
RcmdrPlugin.DCCV,0.56,0,219,5802,18,26
Q7,0.56,0,196,5133,11,26
BayesDesign,0.55,0,36,860,15,23
downloadthis,0.55,0,470,12935,26,27
survivalmodels,0.55,0,237,6247,23,26
onbabynames,0.55,0,37,884,11,23
bgumbel,0.55,0,100,2502,17,25
Dire,0.55,0,79,1944,14,24
fritools,0.54,0,149,3791,23,25
ARDL,0.54,0,425,11521,25,27
BI,0.54,0,36,849,15,23
bettermc,0.53,0,76,1837,18,24
CopernicusDEM,0.53,0,25,577,16,22
pagoda2,0.52,0,132,3259,24,25
misty,0.52,0,486,12995,25,27
sccore,0.52,0,252,6464,23,26
mrbin,0.52,0,447,11842,27,26
csppData,0.51,0,174,4340,22,25
RcmdrPlugin.BWS1,0.51,0,355,9205,20,26
taxadb,0.51,0,476,12532,20,26
faux,0.5,0,294,7491,23,25
GWI,0.5,0,134,3254,21,24
actel,0.5,0,361,9301,20,26
ggcharts,0.5,0,440,11466,23,26
USgas,0.5,0,174,4279,16,24
envir,0.5,0,195,4820,21,25
calendR,0.5,0,282,7124,23,25
optbin,0.49,0,111,2640,16,24
fastai,0.49,0,210,5173,21,25
base.rms,0.49,0,312,7874,24,25
overdisp,0.48,0,479,12306,26,26
DSI,0.48,0,432,11012,23,25
job,0.48,0,5,115,14,19
aziztest,0.47,0,434,10956,26,25
word2vec,0.47,0,370,9235,23,25
geostats,0.47,0,151,3555,19,23
AHPhybrid,0.46,0,119,2759,22,23
echarty,0.46,0,113,2610,15,23
cargo,0.46,0,96,2196,21,23
ENMTools,0.46,0,315,7683,23,24
packager,0.46,0,474,11860,23,25
LDAShiny,0.45,0,124,2838,17,23
covid19us,0.45,0,443,10935,21,25
tidyfst,0.45,0,471,11669,22,25
forestError,0.44,0,512,12714,18,25
ghql,0.44,0,462,11396,22,25
brickr,0.44,0,429,10516,23,24
sasLM,0.44,0,413,10079,23,24
susieR,0.44,0,7,150,14,19
parsermd,0.44,0,30,635,14,20
languageserversetup,0.44,0,452,11044,23,24
resourcer,0.43,0,433,10546,22,24
IRTBEMM,0.43,0,452,11016,27,24
tidySEM,0.43,0,349,8365,19,24
canvasXpress.data,0.43,0,446,10851,23,24
diveR,0.43,0,30,631,12,20
datasetsICR,0.43,0,370,8868,23,24
cfdecomp,0.43,0,448,10856,25,24
actuaryr,0.43,0,460,11163,23,24
this.path,0.43,0,210,4852,21,23
tidyHeatmap,0.43,0,472,11452,22,24
RcmdrPlugin.WorldFlora,0.42,0,348,8278,18,24
ggside,0.42,0,100,2208,18,22
Tplyr,0.42,0,272,6364,22,23
Rage,0.42,0,36,756,12,20
ggstar,0.42,0,447,10769,22,24
PoissonBinomial,0.42,0,504,12219,21,24
crsuggest,0.42,0,30,624,16,20
msd,0.42,0,452,10862,25,24
JBrowseR,0.42,0,107,2356,15,22
ipaddress,0.42,0,461,11088,22,24
Bvalue,0.42,0,503,12162,25,24
wpa,0.42,0,64,1368,19,21
genieclust,0.42,0,314,7349,21,23
rliger,0.41,0,135,2997,21,22
simplevis,0.41,0,447,10674,20,24
r2dii.match,0.41,0,438,10438,20,24
sfnetworks,0.41,0,90,1948,19,21
msae,0.41,0,446,10619,24,24
gm,0.41,0,78,1669,17,21
splitTools,0.4,0,503,12004,22,24
flipbookr,0.4,0,9,184,11,18
greeks,0.4,0,34,699,14,20
seededlda,0.4,0,272,6236,21,23
wsbackfit,0.4,0,447,10568,24,24
lookup,0.4,0,56,1174,16,21
CFF,0.4,0,462,10937,24,24
rBiasCorrection,0.4,0,309,7107,19,23
vader,0.4,0,435,10222,19,23
ggstream,0.39,0,34,692,16,20
ExamPAData,0.39,0,145,3165,24,22
ProbMarg,0.39,0,446,10428,25,23
assert,0.39,0,228,5110,23,22
dualtrees,0.39,0,462,10801,24,23
autostsm,0.39,0,145,3150,18,22
benford,0.38,0,122,2612,23,21
HighestMedianRules,0.38,0,452,10474,24,23
covid19italy,0.38,0,446,10324,21,23
AgroR,0.38,0,22,437,14,19
AzureTableStor,0.38,0,216,4754,18,22
edmdata,0.38,0,296,6637,23,22
fastText,0.38,0,26,515,19,19
rkeops,0.37,0,446,10247,19,23
conos,0.37,0,106,2231,19,21
doc2vec,0.37,0,181,3922,16,22
geouy,0.37,0,462,10602,21,23
shinySIR,0.37,0,506,11662,21,23
RsSimulx,0.37,0,139,2957,15,21
FinePop2,0.37,0,467,10694,23,23
arabic2kansuji,0.37,0,155,3311,20,21
hlaR,0.37,0,57,1152,12,20
opentripplanner,0.36,0,507,11606,21,23
mlbstatsR,0.36,0,23,448,9,19
ggheatmap,0.36,0,14,271,17,18
box,0.36,0,117,2439,19,21
FCPS,0.35,0,484,10943,21,23
proceduralnames,0.35,0,155,3265,19,21
dimensio,0.35,0,48,949,18,19
chilemapas,0.35,0,502,11307,21,22
flexpolyline,0.35,0,349,7676,20,22
qtl2,0.35,0,348,7649,20,22
HDCurves,0.34,0,484,10852,24,22
mob,0.34,0,466,10420,14,22
lmeInfo,0.34,0,409,9069,17,22
albatross,0.34,0,257,5533,16,21
iccde,0.34,0,187,3948,19,21
peopleanalyticsdata,0.34,0,153,3191,22,21
eddington,0.34,0,442,9822,13,22
postcards,0.34,0,177,3705,19,21
gtfsio,0.34,0,64,1262,18,19
rrapply,0.33,0,370,8070,22,22
netstat,0.33,0,503,11181,23,22
akc,0.33,0,518,11520,21,22
GGMnonreg,0.33,0,62,1217,10,19
metathis,0.33,0,465,10258,21,22
ata,0.33,0,401,8759,22,22
escalation,0.33,0,458,10088,22,22
sequence,0.33,0,484,10688,24,22
ahptopsis2n,0.33,0,202,4222,19,21
aopdata,0.33,0,93,1858,18,20
EWS,0.33,0,428,9365,22,22
galah,0.33,0,64,1253,17,19
dataframeexplorer,0.33,0,427,9334,21,22
BRL,0.33,0,513,11334,22,22
EMpeaksR,0.33,0,50,966,15,19
textplot,0.33,0,407,8860,19,22
exoplanets,0.33,0,30,568,17,18
allestimates,0.33,0,490,10787,21,22
educationdata,0.33,0,9,170,12,17
valse,0.33,0,9,170,17,17
pedSimulate,0.32,0,420,9146,21,22
matchmaker,0.32,0,510,11211,20,22
covidcast,0.32,0,36,681,16,18
prompt,0.32,0,97,1923,18,20
latexdiffr,0.32,0,37,699,17,18
cicerone,0.32,0,466,10128,21,22
tukeyGH,0.32,0,60,1156,11,19
conflr,0.31,0,450,9740,21,22
geodata,0.31,0,9,168,13,17
mStats,0.31,0,435,9387,22,22
cdlei,0.31,0,486,10560,22,22
symengine,0.31,0,407,8736,18,21
garchx,0.31,0,427,9190,20,21
rdacca.hp,0.31,0,187,3822,18,20
epikit,0.31,0,461,9964,21,22
DCEtool,0.31,0,49,931,19,19
iNZightTools,0.31,0,472,10196,20,22
dittodb,0.31,0,320,6743,19,21
evgam,0.31,0,458,9865,21,21
Rcompadre,0.31,0,40,751,18,18
alookr,0.31,0,446,9576,20,21
abdiv,0.31,0,506,10942,21,22
cmsafvis,0.31,0,246,5084,18,21
essentials,0.31,0,131,2607,22,20
BioVenn,0.31,0,281,5854,18,21
indiedown,0.3,0,79,1526,12,19
airqualityES,0.3,0,466,10003,20,21
checkdown,0.3,0,457,9787,20,21
liver,0.3,0,295,6129,17,21
MDSS,0.3,0,464,9916,22,21
cnum,0.3,0,446,9502,21,21
LibOPF,0.3,0,440,9359,21,21
Superpower,0.3,0,478,10217,20,21
mapping,0.3,0,69,1314,17,19
influential,0.3,0,478,10203,20,21
violinplotter,0.3,0,442,9387,20,21
logr,0.3,0,343,7167,20,21
ocd,0.3,0,448,9511,22,21
cSEM,0.29,0,513,10982,20,21
amanida,0.29,0,26,475,10,18
DRDID,0.29,0,387,8122,18,21
Rcatch22,0.29,0,22,399,14,17
hal9001,0.29,0,461,9751,19,21
AQuadtree,0.29,0,453,9567,20,21
RestRserve,0.29,0,467,9873,19,21
bayesZIB,0.29,0,36,660,13,18
guf,0.29,0,475,10029,22,21
apyramid,0.29,0,513,10881,20,21
disaggR,0.29,0,289,5912,18,20
libgeos,0.28,0,336,6932,19,21
acled.api,0.28,0,228,4589,19,20
trending,0.28,0,233,4695,16,20
BIRDS,0.28,0,446,9323,21,21
pathfindR.data,0.28,0,370,7641,20,21
wkutils,0.28,0,314,6412,18,20
EFAtools,0.28,0,337,6909,18,20
fdaACF,0.28,0,502,10553,20,21
AEP,0.28,0,302,6140,21,20
rtist,0.28,0,473,9888,21,21
implied,0.28,0,479,10008,21,21
babette,0.27,0,515,10804,17,21
daterangepicker,0.27,0,446,9264,19,21
gsignal,0.27,0,37,669,13,18
natmanager,0.27,0,484,10056,19,21
syslognet,0.27,0,518,10806,21,21
WeightSVM,0.27,0,430,8861,19,21
CompoundEvents,0.27,0,467,9671,21,21
contentid,0.27,0,301,6056,16,20
gtfs2gps,0.27,0,450,9273,18,21
EwR,0.26,0,195,3813,20,19
BET,0.26,0,233,4600,17,20
Convolutioner,0.26,0,90,1681,19,18
ipr,0.26,0,446,9168,21,21
html5,0.26,0,147,2822,21,19
tinylabels,0.26,0,219,4305,18,20
swdpwr,0.26,0,226,4443,20,20
googleCloudRunner,0.26,0,489,10086,19,21
clarkeTest,0.26,0,454,9320,19,20
unisensR,0.26,0,486,10013,18,21
DSLite,0.26,0,425,8672,19,20
ZIprop,0.26,0,62,1131,10,18
loon.tourr,0.26,0,30,531,13,17
UKFE,0.26,0,198,3846,20,19
delayed,0.26,0,467,9561,19,20
graphsim,0.26,0,450,9184,19,20
casen,0.25,0,446,9087,20,20
relevance,0.25,0,69,1259,13,18
edbuildmapr,0.25,0,446,9076,20,20
ClinSigMeasures,0.25,0,104,1936,19,18
CatDataAnalysis,0.25,0,203,3929,21,19
fasstr,0.25,0,517,10602,19,20
COVIDIBGE,0.25,0,175,3355,17,19
stevemisc,0.25,0,51,914,16,18
nlraa,0.25,0,513,10496,19,20
ppmHR,0.25,0,519,10624,21,20
impressionist.colors,0.25,0,435,8803,21,20
mapSpain,0.25,0,191,3673,17,19
roxytest,0.25,0,371,7432,10,20
add2ggplot,0.25,0,488,9944,19,20
lncDIFF,0.25,0,513,10479,21,20
dvir,0.25,0,72,1307,15,18
abess,0.25,0,49,873,17,17
AlleleShift,0.25,0,134,2516,17,19
modeltime.h2o,0.25,0,84,1536,16,18
hscovar,0.24,0,462,9345,20,20
osfr,0.24,0,478,9689,19,20
policytree,0.24,0,510,10379,18,20
incidence2,0.24,0,275,5382,14,20
bahc,0.24,0,447,9017,20,20
plinkFile,0.24,0,430,8648,21,20
maptiles,0.24,0,211,4058,16,19
autokeras,0.24,0,475,9601,19,20
helda,0.24,0,495,10029,18,20
DFA,0.24,0,343,6785,20,20
cat2cat,0.24,0,260,5052,14,19
DFA.CANCOR,0.24,0,488,9860,19,20
FKF.SP,0.24,0,173,3272,17,19
miceRanger,0.24,0,507,10249,19,20
GE,0.24,0,432,8635,16,20
MatrixExtra,0.24,0,27,466,15,17
epitweetr,0.24,0,251,4839,15,19
stevetemplates,0.23,0,216,4124,17,19
CLVTools,0.23,0,397,7869,16,20
TreeDist,0.23,0,344,6757,17,20
Biostatistics,0.23,0,138,2561,17,18
bacondecomp,0.23,0,510,10251,19,20
bsTools,0.23,0,120,2208,20,18
BayesARIMAX,0.23,0,460,9175,20,20
akmbiclust,0.23,0,258,4961,19,19
abglasso,0.23,0,28,481,15,17
multilevelTools,0.23,0,462,9213,19,20
leastcostpath,0.23,0,441,8766,18,20
aibd,0.23,0,455,9062,18,20
asteRisk,0.23,0,78,1399,16,18
extraterrestrial,0.23,0,438,8701,20,20
DSOpal,0.23,0,408,8058,18,20
neonstore,0.23,0,302,5853,17,19
santoku,0.23,0,502,10038,19,20
agroclim,0.23,0,446,8837,18,20
discourseGT,0.23,0,478,9509,18,20
LSX,0.23,0,273,5242,17,19
healthyR.data,0.23,0,198,3725,20,19
aweSOM,0.23,0,138,2541,16,18
cmsafops,0.22,0,265,5069,17,19
r2dii.analysis,0.22,0,346,6727,16,19
survivoR,0.22,0,64,1127,15,17
cd,0.22,0,230,4352,20,19
dscore,0.22,0,508,10096,19,20
BlackCarbon,0.22,0,230,4348,20,19
bbricks,0.22,0,441,8682,18,20
cognitoR,0.22,0,435,8552,18,20
baRulho,0.22,0,473,9348,19,20
clintools,0.22,0,23,389,11,16
geos,0.22,0,300,5759,17,19
ADVICE,0.22,0,54,941,14,17
wrappedtools,0.22,0,35,598,12,17
rGEDI,0.22,0,434,8501,16,20
folio,0.22,0,117,2116,21,18
insee,0.22,0,315,6041,16,19
eiopaR,0.22,0,42,721,12,17
fec16,0.22,0,314,6019,16,19
quarks,0.22,0,112,2018,17,18
Autoseed,0.21,0,411,8001,19,19
windsoraiR,0.21,0,49,845,13,17
statgenSTA,0.21,0,512,10101,19,20
ArchaeoPhases.dataset,0.21,0,370,7147,19,19
autocart,0.21,0,23,386,13,16
PSweight,0.21,0,401,7768,16,19
flametree,0.21,0,43,735,15,17
fitbitr,0.21,0,2,42,10,14
corncob,0.21,0,90,1594,16,18
colorizer,0.21,0,215,4004,18,19
ConcordanceTest,0.21,0,254,4778,20,19
SoupX,0.21,0,379,7309,17,19
DoubleML,0.21,0,175,3216,17,18
Markovchart,0.21,0,451,8786,18,19
spamtree,0.21,0,0,13,13,13
rspiro,0.21,0,440,8552,20,19
kerastuneR,0.21,0,446,8675,19,19
osmextract,0.21,0,118,2115,16,18
afthd,0.21,0,9,151,9,15
TNRS,0.21,0,71,1237,15,17
epifitter,0.21,0,223,4146,17,19
metagam,0.21,0,475,9257,18,19
climatrends,0.21,0,467,9090,19,19
psycModel,0.21,0,49,838,15,17
csci,0.21,0,184,3379,20,18
treasuryTR,0.2,0,119,2129,17,18
basemaps,0.2,0,21,349,12,16
N2R,0.2,0,253,4729,18,19
BayesLN,0.2,0,475,9230,19,19
fcaR,0.2,0,514,10037,18,19
cbq,0.2,0,517,10087,18,19
erify,0.2,0,54,924,12,17
causact,0.2,0,350,6660,18,19
buildr,0.2,0,393,7532,18,19
causaldata,0.2,0,20,331,13,16
WienR,0.2,0,33,553,10,16
shapr,0.2,0,279,5228,17,19
asciichartr,0.2,0,360,6853,19,19
mactivate,0.2,0,152,2740,20,18
haldensify,0.2,0,452,8711,18,19
bbsBayes,0.2,0,378,7203,17,19
MCPModPack,0.2,0,447,8608,18,19
sped,0.2,0,440,8464,20,19
RSQL,0.2,0,490,9484,18,19
SAMtool,0.19,0,138,2464,16,18
cinaRgenesets,0.19,0,138,2463,21,18
lefko3,0.19,0,310,5807,15,19
cchsflow,0.19,0,479,9220,18,19
jti,0.19,0,202,3684,13,18
activegp,0.19,0,429,8195,18,19
ggseg3d,0.19,0,8,133,9,15
libbib,0.19,0,55,933,14,17
SuessR,0.19,0,273,5063,19,18
likelihoodR,0.19,0,118,2081,20,17
rgugik,0.19,0,182,3284,14,18
surveyvoi,0.19,0,13,212,9,15
AirSensor,0.19,0,244,4476,17,18
combinationpvalues,0.19,0,21,343,10,16
ggrisk,0.19,0,486,9306,19,19
geodiv,0.19,0,495,9487,18,19
bardr,0.19,0,77,1321,17,17
xmlconvert,0.19,0,223,4066,16,18
dotgen,0.19,0,205,3717,20,18
BayesReversePLLH,0.19,0,494,9461,18,19
bayesian,0.19,0,146,2593,16,18
bartCause,0.18,0,433,8212,18,19
memoiR,0.18,0,29,476,12,16
conjurer,0.18,0,519,9951,18,19
ffscrapr,0.18,0,296,5478,17,18
SP2000,0.18,0,446,8467,17,19
utilities,0.18,0,146,2588,17,18
binomialRF,0.18,0,495,9456,18,19
hsrecombi,0.18,0,462,8787,18,19
CFilt,0.18,0,355,6640,19,19
JMbayes2,0.18,0,149,2643,15,18
ganGenerativeData,0.18,0,44,732,13,16
fairmodels,0.18,0,293,5409,17,18
JuliaConnectoR,0.18,0,412,7758,15,19
vasicek,0.18,0,242,4407,20,18
reportfactory,0.18,0,139,2448,16,17
eatDB,0.18,0,428,8073,18,19
mlr3oml,0.18,0,306,5648,17,18
Bayesiangammareg,0.18,0,489,9293,19,19
AsthmaNHANES,0.18,0,57,956,12,16
fastlogitME,0.18,0,216,3898,20,18
garma,0.18,0,307,5659,17,18
modernVA,0.18,0,326,6031,18,18
bbreg,0.18,0,446,8410,18,19
MKpower,0.18,0,493,9346,18,19
cfmortality,0.18,0,398,7443,18,19
SpatialRoMLE,0.18,0,435,8180,19,19
scoringutils,0.18,0,360,6684,15,19
BARIS,0.17,0,471,8893,18,19
bets.covid19,0.17,0,393,7334,19,19
gontr,0.17,0,216,3881,20,18
FDX,0.17,0,447,8401,18,19
pathviewr,0.17,0,34,555,15,16
clustermole,0.17,0,506,9576,18,19
EFA.dimensions,0.17,0,324,5955,15,18
daqapo,0.17,0,427,7980,18,19
RenvModule,0.17,0,326,5988,19,18
tfarima,0.17,0,212,3784,15,18
himach,0.17,0,55,911,13,16
QDiabetes,0.17,0,118,2034,21,17
inti,0.17,0,230,4123,16,18
beakr,0.17,0,485,9109,18,19
ecolTest,0.17,0,114,1960,20,17
mixIndependR,0.17,0,484,9084,18,19
DCPO,0.16,0,461,8606,18,19
iCAMP,0.16,0,273,4930,17,18
tidyfast,0.16,0,446,8303,17,19
aiRly,0.16,0,447,8322,17,19
ergmito,0.16,0,494,9253,19,19
signnet,0.16,0,502,9410,17,19
aPCoA,0.16,0,441,8197,18,19
kim,0.16,0,196,3464,16,18
remap,0.16,0,146,2534,16,17
gesso,0.16,0,2,40,9,13
LKT,0.16,0,2,40,10,13
codexcopd,0.16,0,387,7117,18,18
factor.switching,0.16,0,455,8445,18,19
hybridogram,0.16,0,22,350,13,15
comFuncs,0.16,0,182,3190,18,17
PriceIndices,0.16,0,128,2197,17,17
sever,0.16,0,348,6342,16,18
oskeyring,0.16,0,222,3934,16,18
NFCP,0.16,0,147,2541,15,17
image.textlinedetector,0.16,0,267,4784,15,18
jfa,0.16,0,518,9675,16,19
ddp,0.16,0,310,5603,18,18
cgal4h,0.16,0,344,6257,18,18
hockeystick,0.16,0,124,2120,15,17
knitrdata,0.16,0,351,6390,16,18
mlr3spatiotempcv,0.16,0,210,3699,15,18
SUNGEO,0.16,0,177,3085,13,17
detectseparation,0.16,0,441,8131,17,18
RCMinification,0.15,0,68,1123,15,16
aRchi,0.15,0,61,1002,14,16
fauxnaif,0.15,0,465,8595,18,18
siconvr,0.15,0,22,348,10,15
conleyreg,0.15,0,13,205,11,15
microeco,0.15,0,209,3673,16,17
qqboxplot,0.15,0,30,478,13,15
restaurant,0.15,0,230,4060,19,18
good,0.15,0,34,543,11,16
rDppDiversity,0.15,0,20,315,10,15
AWAPer,0.15,0,494,9133,18,18
dadjoke,0.15,0,239,4218,18,18
vasicekreg,0.15,0,33,525,12,15
variability,0.15,0,253,4474,18,18
xpectr,0.15,0,466,8559,16,18
forrel,0.15,0,496,9137,18,18
greed,0.15,0,49,790,13,16
additive,0.15,0,8,127,11,14
LimnoPalettes,0.15,0,233,4089,19,17
multiridge,0.15,0,64,1044,13,16
NGSSEML,0.15,0,507,9338,17,18
aquodom,0.15,0,35,556,13,15
MSSQL,0.15,0,91,1511,18,16
errum,0.14,0,447,8161,17,18
naspaclust,0.14,0,89,1475,18,16
BoostMLR,0.14,0,452,8255,17,18
cryptowatchR,0.14,0,15,234,10,15
momentfit,0.14,0,495,9086,18,18
diverge,0.14,0,463,8460,17,18
safetyData,0.14,0,141,2393,20,17
fmtr,0.14,0,306,5441,17,18
SFSI,0.14,0,37,587,10,15
Carlson,0.14,0,462,8422,18,18
rfacts,0.14,0,238,4161,12,17
